ID,CITY,STATE,LAT_N,LONG_W
1,Pfeifer,KS,37.44478047,65.68491252
3,Hesperia,CA,106.0569286,71.11876711
4,South Britain,CT,65.58421931,33.60504379
11,Crescent City,FL,58.03964248,117.904074
14,Forest,MS,120.283076,50.22883356
15,Ducor,CA,140.8633607,102.039339
16,Beaufort,MO,71.77418064,85.65741838
17,Fredericktown,MO,105.5334784,112.6890911
23,Honolulu,HI,110.101955,139.7437776
25,New Century,KS,135.0165273,79.2737078
26,Church Creek,MD,39.43148157,91.25809126
29,South Carrollton,KY,57.99646524,116.9612554
31,Novinger,MO,108.0363353,111.905194
33,Saint Elmo,AL,27.34698627,50.57950365
34,Mcbrides,MI,74.05708403,35.68248542
35,Richmond Hill,GA,39.39625803,113.5962389
44,Kismet,KS,99.82252766,156.5035829
45,Rives Junction,MI,94.19750922,116.8527277
49,Osborne,KS,70.36168327,139.7111654
53,Shasta,CA,99.3217648,155.6064309
55,Coalgood,KY,57.17093106,149.0199479
57,Clifton,AZ,30.15463898,135.7025933
59,Whitewater,MO,82.71809743,71.42607696
61,Brilliant,AL,86.44332452,159.8521168
62,Monroe,AR,131.9009853,150.2191899
65,Buffalo Creek,CO,47.66145958,148.18673
67,Reeds,MO,30.78888129,42.50211311
69,Kingsland,AR,78.22487634,85.13857667
70,Norphlet,AR,144.0236478,61.19376352
76,Pico Rivera,CA,143.2779102,116.5329052
80,Bridgton,ME,93.2257481,140.415464
81,Cowgill,MO,136.7968514,27.64437869
82,Many,LA,36.27989144,94.73049099
84,Cobalt,CT,87.32065593,26.53203148
88,Eros,LA,95.16264172,58.31349033
92,Watkins,CO,83.27433063,96.73732305
93,Dale,IN,69.59335022,34.41552119
95,Dupo,IL,41.28342297,29.03342929
96,Raymondville,MO,70.68239168,148.4444084
98,Hackleburg,AL,119.5607105,120.6244819
99,Woodstock Valley,CT,117.3945666,162.6313182
100,North Monmouth,ME,130.9470284,78.1720794
102,Kirksville,MO,140.0030631,143.8709979
104,Yalaha,FL,120.379672,119.6867612
105,Weldon,CA,134.0156771,118.9609382
106,Yuma,AZ,111.3250449,153.9544591
108,North Berwick,ME,70.83371719,27.32004135
109,Bridgeport,MI,50.68988119,79.90137859
110,Mesick,MI,82.12446036,108.5283528
113,Prescott,IA,39.93234421,65.79327823
116,Mc Henry,MD,93.28771946,112.5615175
117,West Grove,IA,127.2347708,99.40721054
119,Wildie,KY,69.65812987,111.8552379
122,Robertsdale,AL,97.7213689,85.3747551
124,Pine City,MN,119.4617792,129.3654709
127,Oshtemo,MI,100.3702957,135.9503227
130,Hayneville,AL,109.7380661,157.4686782
136,Bass Harbor,ME,137.6658892,61.32505843
143,Renville,MN,142.1513936,99.43201313
144,Eskridge,KS,107.6258317,63.49425548
154,Baker,CA,31.04603084,148.4583053
155,Casco,MI,138.5984073,109.0728819
156,Heyburn,ID,82.08611195,121.0459768
157,Blue River,KY,116.9576347,161.9999536
160,Grosse Pointe,MI,102.0471602,91.37131122
161,Alanson,MI,90.6531996,72.11952297
162,Montgomery City,MO,70.44312726,44.6656582
165,Baileyville,IL,82.25468043,61.45305816
166,Mccomb,MS,74.04169376,42.63374681
167,Equality,AL,106.9827016,116.0551095
171,Springerville,AZ,124.6882036,150.6628287
172,Atlantic Mine,MI,131.2317773,99.46687268
174,Onaway,MI,108.606587,55.75945692
175,Lydia,LA,41.78237386,39.53037919
176,Grapevine,AR,92.36589225,84.54293686
180,Napoleon,IN,32.03325626,160.2402958
181,Fairview,KS,80.27133556,164.5798928
182,Winter Park,FL,133.2328303,32.75523159
183,Jordan,MN,68.74638928,35.46228503
188,Prairie Du Rocher,IL,75.57692264,70.70579881
189,West Somerset,KY,73.96926833,45.05666828
190,Oconee,GA,92.56220722,119.477431
193,Corcoran,CA,81.30137309,139.5642079
196,Compton,IL,106.617993,99.40704162
197,Milledgeville,IL,90.98811028,113.2748504
199,Linden,MI,53.41116218,32.62422206
200,Franklin,LA,82.24062794,31.77872725
202,Hope,MN,140.3641688,43.72901978
204,Alba,MI,91.6374264,103.6339603
207,Olmitz,KS,29.23891674,38.40224754
208,Lottie,LA,109.8672979,82.76650144
213,Calpine,CA,46.51401744,43.28489958
215,Kensett,IA,55.72295385,139.5524526
218,Round Pond,ME,127.4428771,124.0040106
223,Losantville,IN,112.5187171,106.7760547
224,West Hyannisport,MA,58.96091486,96.01475843
225,Garden City,IA,54.20966949,119.9108332
226,Decatur,MS,71.24714242,117.5656331
228,Rydal,GA,35.68357838,78.82337343
231,Arispe,IA,31.11149635,137.7968198
232,Grandville,MI,38.85256239,70.13776289
233,Pierre Part,LA,52.08546427,90.0586868
234,Rogers,CT,140.4723914,33.18335673
235,Haubstadt,IN,27.98898068,32.08170842
237,Winchester,ID,38.37033443,80.0549859
240,Saint Paul,KS,66.21395656,163.0077619
241,Woodsboro,MD,76.62670866,141.8878169
242,Macy,IN,138.694477,152.3694449
243,Hazlehurst,MS,49.02687366,108.5047274
246,Ludington,MI,30.22167082,120.2292117
249,Acme,LA,73.16170647,67.68247776
250,Hampden,MA,76.39074308,26.48368838
252,Childs,MD,92.7594351,104.0155475
253,Winsted,MN,68.82384939,72.51511422
255,Brighton,IL,107.6050821,32.84882058
257,Eureka Springs,AR,72.05811052,34.78379268
259,Baldwin,MD,81.73572165,40.4397386
260,Sizerock,KY,116.0212592,112.7471971
261,Fulton,KY,111.1099272,51.9333688
263,Irvington,IL,96.70474244,68.28719181
266,Cahone,CO,116.2321963,127.009554
269,Jack,AL,49.93703023,85.62817326
270,Shingletown,CA,61.12316996,102.1004578
271,Hillside,CO,99.26558164,68.84352684
273,Rosie,AR,72.75896875,161.9173483
278,Cromwell,MN,128.8462234,53.51254061
283,Clipper Mills,CA,113.7157379,56.95349532
286,Five Points,AL,45.66018469,122.2230485
287,Madisonville,LA,112.2163874,53.04603619
288,Daleville,AL,121.8865105,136.1704398
291,Clarkdale,AZ,58.19417297,73.94789938
294,Orange Park,FL,59.21949077,137.3062222
299,Goodman,MS,101.4399417,117.2836453
301,Monona,IA,144.1294884,81.57803996
302,Saint Petersburg,FL,51.70599633,119.8633195
303,Cascade,ID,31.77168828,157.4787824
305,Bennington,KS,93.86729369,83.23522781
306,Bainbridge,GA,62.05282515,56.8764458
311,South Haven,MN,30.49981982,87.12529835
312,Bentonville,AR,36.9528472,78.06843628
315,Ravenna,KY,79.15467169,106.252172
321,Bowdon Junction,GA,85.93174158,33.60098321
322,White Horse Beach,MA,54.28636867,59.32483484
323,Barrigada,GU,60.60716473,147.5296125
324,Norwood,MN,144.4891504,34.88529336
325,Monument,KS,70.52300953,141.7680413
326,Rocheport,MO,114.163159,64.48216553
327,Ridgway,CO,77.43818081,110.2668422
328,Monroe,LA,28.35665956,108.4230828
329,Caseville,MI,102.9200706,98.4033735
331,Cranks,KY,55.60911109,27.28471229
332,Elm Grove,LA,45.94376238,29.40142814
336,Dumont,MN,57.0124315,129.3675605
337,Mascotte,FL,121.4608708,146.1675503
339,Kirk,CO,141.097397,136.3312671
342,Chignik Lagoon,AK,103.1995264,153.0084273
343,Mechanic Falls,ME,71.67037017,71.12217879
344,Zachary,LA,60.70904494,152.4891268
345,Yoder,IN,83.49946581,143.715826
350,Cannonsburg,MI,91.03351667,120.6696799
351,Fredericksburg,IN,44.51203489,78.05797739
352,Clutier,IA,61.1888319,127.0339038
354,Larkspur,CA,107.0529696,65.97363083
355,Weldona,CO,32.96727204,58.44917695
356,Ludlow,CA,110.9935346,87.5889856
357,Yellville,AR,35.68710434,42.24658664
361,Arrowsmith,IL,28.00318693,109.3395101
362,Magnolia,MS,112.7433771,31.7992904
363,Reasnor,IA,41.59710148,162.564183
364,Howard Lake,MN,125.7573101,78.32807705
365,Payson,IL,81.73581393,92.11488949
366,Norvell,MI,125.3431567,93.75245864
370,Palm Desert,CA,106.8122401,145.755601
373,Pawnee,IL,85.23318916,81.41613585
375,Culdesac,ID,47.8418268,78.06551236
376,Gorham,KS,111.3244307,64.7460158
377,Koleen,IN,137.5485615,110.5110324
378,Clio,IA,46.15263324,115.4197768
380,Crane Lake,MN,72.91869963,43.21691808
382,Leavenworth,IN,100.4326724,121.7334554
383,Newbury,MA,128.3982315,85.17470023
384,Amo,IN,103.5871398,159.4306474
387,Ojai,CA,68.61410998,119.3268593
389,Midpines,CA,106.4324573,59.38358608
391,Berryton,KS,60.72683604,139.7644481
392,Delano,CA,126.3467998,91.50161746
394,Centertown,MO,133.9733513,93.17246374
396,Dryden,MI,69.80182523,47.7436689
399,Republic,MI,75.42182,130.1266717
400,New Ross,IN,134.0171278,120.9457064
401,Tennessee,IL,55.49838117,155.6455992
403,Zionsville,IN,57.79181464,36.493866
404,Farmington,IL,91.7144044,72.0223174
405,Susanville,CA,128.2498724,80.31679475
406,Carver,MN,45.89251104,122.069681
409,Columbus,GA,67.33892289,46.61622653
410,Calhoun,KY,95.59608144,56.90222593
411,Negreet,LA,98.9707194,105.3376115
413,Linthicum Heights,MD,127.5633635,67.72558927
414,Manchester,MD,73.51580724,37.14602869
417,New Liberty,IA,139.9576338,94.60402159
419,Lindsay,MT,143.1029143,67.84315935
420,Frankfort Heights,IL,71.60321313,30.37327497
423,Soldier,KS,77.30051697,152.6019439
426,Millville,CA,32.55838209,145.7434609
428,Randall,KS,47.99772806,135.6275983
429,Lucerne Valley,CA,35.61763429,48.40574601
430,Rumsey,KY,70.6921152,50.2122756
433,Canton,ME,98.73035759,105.973446
435,Albion,IN,44.25844944,121.8753316
436,West Hills,CA,68.43035344,73.09541905
438,Bowdon,GA,88.98111013,78.49025241
439,Reeves,LA,35.25310608,51.40054622
440,Grand Terrace,CA,37.31044167,126.5856106
441,Hanna City,IL,50.98932987,136.781101
442,Elkton,MD,103.2547878,156.7289171
444,Richland,GA,105.4709117,113.0379774
446,Mid Florida,FL,110.4113429,50.75132792
447,Arkadelphia,AR,98.62295228,49.57501146
448,Canton,MN,123.6434525,151.4217519
451,Fort Atkinson,IA,142.8573871,140.6362117
453,Sedgwick,AR,68.93334418,75.29418595
455,Granger,IA,33.41875149,102.0769844
457,Chester,CA,69.81295092,123.9310828
459,Harmony,IN,135.0209241,70.82520023
460,Leakesville,MS,107.1711382,72.57740597
464,Gales Ferry,CT,104.568616,37.4148061
465,Jerome,AZ,121.7110583,34.40610397
467,Roselawn,IN,87.70708169,51.74506986
470,Healdsburg,CA,111.0990566,54.22339268
471,Cape Girardeau,MO,73.50450967,90.54309441
473,Highwood,IL,27.25445814,150.9227402
474,Grayslake,IL,61.30374218,33.05923131
476,Julian,CA,130.5068313,101.5586762
478,Tipton,IN,33.54792701,97.94286036
479,Cuba,MO,63.71916114,87.64843313
482,Jolon,CA,66.65054378,52.95528769
486,Delta,LA,136.5385281,49.73086766
489,Madden,MS,81.34223218,99.37998257
492,Regina,KY,131.5515912,90.23826291
493,Groveoak,AL,53.38766607,87.51404432
494,Palatka,FL,94.54524237,52.32888835
495,Upperco,MD,114.2157413,29.63104758
497,Hills,MN,137.9673743,134.7732604
498,Glen Carbon,IL,60.8365036,140.7226054
499,Delavan,MN,32.57766608,64.51366944
501,Tefft,IN,93.21527074,150.0159946
502,Bellevue,KY,127.4330424,121.7488466
503,Northfield,MN,61.00207775,37.15335522
504,Melber,KY,37.24884854,55.53335159
505,Williams,AZ,73.48100913,111.7413889
506,Firebrick,KY,49.99183934,95.03900712
510,Eastlake,MI,134.0938535,38.78212913
512,Garland,ME,108.7311062,134.3750565
515,Waresboro,GA,144.2468197,153.6063421
518,Vulcan,MO,108.6087788,91.56138944
519,Rio Oso,CA,29.39052378,105.8220992
520,Delray Beach,FL,27.28675141,158.523496
521,Gowrie,IA,130.2024387,127.9825354
522,Harmony,MN,124.3596204,126.3744558
524,Montrose,CA,136.4765033,119.373558
526,Tarzana,CA,135.8603987,81.30731303
527,Auburn,IA,95.48926949,137.0748386
528,Crouseville,ME,36.5185121,81.54481624
531,North Middletown,KY,42.98811364,141.9110269
536,Henderson,IA,77.92417249,77.90662876
537,Hagatna,GU,97.17321584,151.8086289
538,Cheswold,DE,31.93743733,59.34689519
539,Montreal,MO,129.2453575,127.3259318
540,Mosca,CO,89.20441335,141.4811419
541,Siloam,GA,105.0197648,92.23437917
543,Lapeer,MI,128.621355,114.2603286
545,Byron,CA,136.5105235,120.4150088
547,Sandborn,IN,55.94680767,93.85315475
551,San Simeon,CA,37.53287288,28.34167204
554,Brownsdale,MN,52.42646664,50.79836304
555,Westphalia,MI,32.76641637,143.8050085
557,Woodbury,GA,102.5472386,93.37553932
560,Osage City,KS,110.2040149,89.60743627
566,Marine On Saint Croix,MN,126.1597844,115.7915363
570,Greenview,CA,80.50000412,57.58800404
571,Tyler,MN,133.3521233,58.63273833
572,Athens,IN,75.32104008,120.7983748
573,Alton,MO,79.78277762,112.0377817
581,Carlos,MN,114.9060173,66.2810487
582,Curdsville,KY,84.78749012,150.4842247
583,Channing,MI,117.1645417,56.95124478
586,Ottertail,MN,100.0240382,44.34165481
588,Glencoe,KY,46.38739244,136.0427027
591,Baton Rouge,LA,129.8353108,71.75074848
593,Aliso Viejo,CA,67.51641885,131.4169084
595,Grimes,IA,42.05019623,74.73314913
596,Brownstown,IL,48.65218811,63.22095723
598,Middleboro,MA,108.0489233,149.2884231
599,Esmond,IL,75.55442471,90.92380719
600,Shreveport,LA,136.2310159,38.50207291
603,Sandy Hook,CT,72.33748014,148.2400769
604,Forest Lakes,AZ,144.8428773,114.2941167
605,Notasulga,AL,66.84426322,115.6864036
606,Morenci,AZ,104.8964262,110.2033978
608,Busby,MT,104.0894472,29.83035109
609,Marysville,MI,85.76134731,132.8724084
610,Archie,MO,40.20107326,28.20449072
611,Richmond,IL,113.2485902,163.4569608
612,Sturdivant,MO,93.84076298,86.38850955
613,East China,MI,108.6868178,42.481113
614,Benedict,KS,138.4990456,95.71978969
615,Libertytown,MD,144.5783185,111.9744225
617,Sturgis,MS,36.45673517,126.1690696
619,Arlington,CO,75.17993079,92.94615894
621,Flowood,MS,64.88877035,149.2064111
623,Jackson,AL,111.2337497,67.23512783
624,Knobel,AR,95.35416575,62.09056432
625,Bristol,ME,87.96807414,95.28850006
630,Prince Frederick,MD,104.8277251,57.72409824
631,Urbana,IA,142.525907,29.3535608
633,Bertha,MN,39.94889028,105.3111577
636,Ukiah,CA,86.98074065,89.58215119
637,Beverly,KY,57.75450094,126.8958422
638,Clovis,CA,92.43965299,138.0751933
640,Walnut,MS,40.93632826,76.96159942
642,Lynnville,KY,25.40836031,146.4916272
643,Wellington,KY,100.4511347,31.68760835
644,Seward,AK,120.2916666,35.70962093
646,Greens Fork,IN,133.9202472,135.4831973
647,Portland,AR,83.92116818,44.80555694
649,Pengilly,MN,25.07352606,154.0642918
650,Clancy,MT,45.82996854,164.378675
651,Clopton,AL,40.77104358,84.70678339
654,Lee,IL,27.67194236,51.00916073
656,Pattonsburg,MO,138.100334,32.10804024
657,Gridley,KS,118.1450367,55.80178454
661,Payson,AZ,126.3006665,154.1581522
662,Skanee,MI,70.1724149,129.5593113
665,Chelsea,IA,98.72210937,59.68913002
666,West Baden Springs,IN,30.34796858,96.10925581
667,Hawarden,IA,90.96161545,46.93255602
668,Rockton,IL,116.1223935,86.83833004
672,Lismore,MN,58.87142971,103.8693391
673,Showell,MD,44.18858219,163.5375464
675,Dent,MN,70.74998895,136.7844469
677,Hayesville,IA,119.9881564,42.12719349
678,Bennington,IN,35.52107321,26.80362207
679,Gretna,LA,75.26293787,142.5762285
682,Pheba,MS,90.94560988,127.3003694
684,Mineral Point,MO,91.19831625,41.42980142
685,Anthony,KS,45.00536601,161.1266931
690,Ravenden Springs,AR,67.62838061,108.2637595
692,Yellow Pine,ID,83.12257286,150.8949096
694,Ozona,FL,144.9890627,120.8800876
695,Amazonia,MO,45.78566304,148.2013846
696,Chilhowee,MO,79.60794457,49.35750494
698,Albany,CA,49.75112765,80.21211317
699,North Branford,CT,37.79924488,95.27097375
700,Pleasant Grove,AR,135.1358062,145.589833
701,Seaton,IL,128.2287955,78.43005628
702,Everton,MO,119.0469849,51.48512967
704,Climax,MI,127.3563782,107.0542747
705,Hotchkiss,CO,69.89601052,71.8204765
706,Little Rock,AR,122.2368191,121.1527177
709,Nubieber,CA,132.9033933,49.27761205
710,Turners Falls,MA,31.08726265,125.0944216
711,Turner,AR,50.24380534,101.4580163
712,Dundee,IA,61.60220306,105.0400041
715,Hyde Park,MA,65.0914004,156.2447451
716,Schleswig,IA,119.2539069,51.88108538
718,Taft,CA,107.8609513,146.7421276
722,Marion Junction,AL,53.32457298,31.33696798
725,Alpine,AR,116.8197146,114.6480471
727,Winslow,IL,113.1328079,38.71450096
728,Roy,MT,41.31187761,51.56467929
731,Emmett,ID,57.09557313,31.52679145
733,Pelahatchie,MS,38.58161595,28.11950703
735,Wilton,ME,56.57944083,157.1906205
738,Philipsburg,MT,95.95531865,72.24442365
739,Fort Meade,FL,43.98657665,35.29709384
740,Siler,KY,137.0193079,117.2464806
741,Jemison,AL,62.10307108,25.71260581
743,De Tour Village,MI,25.41948948,25.10565434
745,Windom,KS,114.1911261,126.3861311
746,Orange City,IA,93.53270561,162.9473363
750,Neon,KY,101.9782171,147.6742197
751,Agency,MO,59.27754758,95.68305376
752,East Irvine,CA,106.2316586,115.2528621
753,Algonac,MI,118.7398038,80.14671114
754,South Haven,MI,144.6571707,52.78581773
755,Sturgis,MI,117.392421,135.3989883
756,Garden City,AL,96.07908272,105.4245193
757,Lakeville,CT,59.86867012,94.98860174
766,Gustine,CA,111.0875596,140.8338617
767,Pomona Park,FL,100.5211913,163.3497491
774,Manchester,IA,129.6682154,123.2967519
775,Eleele,HI,80.90971236,152.5215045
777,Edgewater,MD,130.0676569,72.29080719
778,Pine Bluff,AR,60.41001687,145.7882763
779,Del Mar,CA,59.17878948,95.7703215
780,Cherry,IL,68.29708467,46.70383506
781,Hoffman Estates,IL,129.4025483,53.42126169
783,Strawn,IL,29.67885038,51.08864995
784,Biggsville,IL,85.92578701,138.7463469
789,Hopkinsville,KY,27.31872893,47.94652919
791,Scotts Valley,CA,119.9347043,90.95201996
794,Kissee Mills,MO,139.6503652,73.41609884
799,Corriganville,MD,141.383789,153.6500914
801,Pocahontas,IL,109.6304686,83.23109494
804,Fort Lupton,CO,38.50488828,93.39247499
805,Tamms,IL,59.86766645,75.05164447
811,Dorrance,KS,102.0888316,121.5614372
813,Verona,MO,109.6602903,152.6449499
814,Wickliffe,KY,80.29965735,46.12993489
815,Pomona,MO,52.33346818,50.28222507
819,Peaks Island,ME,59.14046276,110.6921368
820,Chokio,MN,81.36073326,134.232113
821,Sanders,AZ,130.5003609,96.77925686
824,Loma Mar,CA,48.69788572,130.5393541
825,Addison,MI,96.36953674,142.4105732
826,Norris,MT,47.18550342,37.25727353
827,Greenville,IL,50.63729689,153.0238915
829,Seward,IL,72.41930917,90.20890209
830,Greenway,AR,119.2726008,35.99176371
833,Hoskinston,KY,65.7515349,65.67937265
834,Bayville,ME,106.7349403,143.4078424
836,Kenner,LA,91.73825386,126.568648
838,Strasburg,CO,89.39690098,47.89441284
839,Slidell,LA,85.32270304,151.8743276
841,Freeport,MI,113.5505305,50.95838634
842,Decatur,MI,63.31154085,161.4235787
843,Talbert,KY,39.85947921,58.84999769
844,Aguanga,CA,79.89165657,65.93959251
845,Tina,MO,131.7039678,28.1181011
849,Harbor Springs,MI,141.3013054,148.8592992
851,Gatewood,MO,76.31562733,145.668333
853,Coldwater,KS,47.50617517,26.31002645
854,Kirkland,AZ,86.41004231,57.99523843
861,Peabody,KS,75.41614816,152.2100746
866,Haverhill,IA,61.83246718,109.1656568
867,Beaver Island,MI,81.88447769,164.8760477
868,Sherrill,AR,79.96440727,152.2197289
871,Clarkston,MI,93.94092511,80.53826876
878,Rantoul,KS,31.80492935,118.6160845
884,Southport,CT,59.09336238,63.13052144
885,Deerfield,MO,40.213664,35.9386994
886,Pony,MT,99.25831292,162.8777336
888,Bono,AR,133.276314,150.4963257
889,Lena,LA,78.15510874,129.6204891
890,Eufaula,AL,140.2958283,103.0868213
891,Humeston,IA,74.51222394,122.4246326
892,Effingham,KS,132.9495023,97.71747664
896,Yazoo City,MS,95.00896271,85.22465037
897,Samantha,AL,75.2235845,35.94479192
899,Fremont,MI,54.47132153,150.8233711
901,Manchester,MN,71.02098012,84.00752922
904,Ermine,KY,119.6401426,62.79812627
905,Newark,IL,72.53041491,129.8890512
906,Hayfork,CA,35.2971959,116.6698147
907,Veedersburg,IN,78.89639197,94.85475364
908,Bullhead City,AZ,94.82996881,30.42957755
909,Carlock,IL,117.3209611,84.80244659
910,Salem,KY,86.97524724,113.9609797
914,Hanscom Afb,MA,129.1866507,136.4061533
919,Knob Lick,KY,135.8510619,33.39003391
920,Eustis,FL,42.73630964,39.48336091
921,Lee Center,IL,95.79113784,77.13059157
922,Kell,IL,70.35829861,58.74422783
923,Union Star,MO,79.07193272,132.6554698
927,Quinter,KS,59.58257004,25.36132152
928,Coaling,AL,144.2558559,52.20618925
938,Andersonville,GA,141.3126586,72.53178686
940,Paron,AR,59.13834287,104.3412062
941,Allerton,IA,61.84149449,112.5029954
944,Ledyard,CT,134.5468125,143.8149657
946,Newton Center,MA,48.40697791,144.8418196
948,Lupton,MI,139.9255926,53.36397181
949,Norway,ME,83.89130493,88.40746773
950,Peachtree City,GA,80.4921245,155.9823395
953,Udall,KS,112.6844799,59.95863388
955,Netawaka,KS,109.2057274,119.7404946
957,South El Monte,CA,74.04958346,79.64381732
959,Waipahu,HI,106.4460526,33.91451792
960,Deep River,IA,75.37281617,38.56688814
963,Eriline,KY,93.61747947,65.43902104
965,Griffin,GA,38.74146904,151.7182093
968,Norris City,IL,53.67245685,76.10504625
969,Dixie,GA,27.21713791,36.47378899
970,East Haddam,CT,115.6833374,132.3781409
971,Graettinger,IA,94.66283665,150.3826243
973,Andover,CT,51.74018501,52.53230369
975,Panther Burn,MS,116.511268,164.5153249
977,Odin,IL,53.48858773,115.7934363
981,Lakota,IA,56.15413675,92.38612569
982,Holbrook,AZ,134.8838521,103.8569792
983,Patriot,IN,82.63795084,46.08354932
985,Winslow,AR,126.136939,126.1174067
987,Hartland,MI,136.2638918,107.738067
988,Mullan,ID,143.2982072,154.6730256
990,Bison,KS,132.2279842,74.89290079
994,Kanorado,KS,65.42078424,85.72249232
996,Keyes,CA,76.96794304,85.60629899
998,Oakfield,ME,47.65762321,132.2118817
